------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      1  |      1.2578  |     0.8213  |   0.7789  |               |              0.7636  |
|          |      2  |      1.1914  |     0.8467  |   0.7712  |               |              1.1410  |
|          |      3  |      1.1543  |     0.8506  |   0.8350  |               |              1.4880  |
|          |      4  |      1.1270  |     0.8691  |   0.8569  |               |              1.8346  |
|          |      5  |      1.0801  |     0.9053  |   0.8189  |               |              2.1814  |
|          |      6  |      1.0615  |     0.9160  |   0.8919  |               |              2.5278  |
|          |      7  |      1.0166  |     0.9307  |   0.8928  |               |              2.8746  |
|          |      8  |      0.9736  |     0.9561  |   0.9255  |               |              3.2210  |
|          |      9  |      0.9370  |     0.9834  |   0.9337  |               |              3.5398  |
|          |   eval  |      0.9370  |     0.9834  |   0.9337  |       0.9397  |              3.6891  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4385  |     0.7002  |   0.6681  |               |              0.3854  |
|          |      1  |      1.2549  |     0.8145  |   0.7590  |               |              0.7635  |
|          |      2  |      1.2109  |     0.8330  |   0.7637  |               |              1.1410  |
|          |      3  |      1.1436  |     0.8770  |   0.8491  |               |              1.4881  |
|          |      4  |      1.1172  |     0.8877  |   0.8440  |               |              1.8343  |
|          |      5  |      1.0977  |     0.8965  |   0.8457  |               |              2.1811  |
|          |      6  |      1.0283  |     0.9365  |   0.8964  |               |              2.5276  |
|          |      7  |      1.0215  |     0.9316  |   0.9079  |               |              2.8745  |
|          |      8  |      0.9736  |     0.9541  |   0.9196  |               |              3.2208  |
|          |      9  |      0.9365  |     0.9834  |   0.9320  |               |              3.5394  |
|          |   eval  |      0.9365  |     0.9834  |   0.9320  |       0.9410  |              3.6888  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4521  |     0.6963  |   0.6641  |               |              0.3852  |
|          |      1  |      1.2744  |     0.7979  |   0.7101  |               |              0.7633  |
|          |      2  |      1.1836  |     0.8506  |   0.7933  |               |              1.1406  |
|          |      3  |      1.1582  |     0.8574  |   0.7896  |               |              1.4876  |
|          |      4  |      1.1416  |     0.8682  |   0.8573  |               |              1.8342  |
|          |      5  |      1.0957  |     0.9053  |   0.8315  |               |              2.1811  |
|          |      6  |      1.0420  |     0.9268  |   0.8839  |               |              2.5274  |
|          |      7  |      1.0176  |     0.9375  |   0.8945  |               |              2.8742  |
|          |      8  |      0.9741  |     0.9570  |   0.9186  |               |              3.2207  |
|          |      9  |      0.9419  |     0.9824  |   0.9317  |               |              3.5394  |
|          |   eval  |      0.9419  |     0.9824  |   0.9317  |       0.9376  |              3.6888  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4150  |     0.7188  |   0.6236  |               |              0.3852  |
|          |      1  |      1.2549  |     0.8291  |   0.7761  |               |              0.7634  |
|          |      2  |      1.1953  |     0.8496  |   0.8085  |               |              1.1410  |
|          |      3  |      1.1523  |     0.8525  |   0.8143  |               |              1.4882  |
|          |      4  |      1.1309  |     0.8789  |   0.8592  |               |              1.8349  |
|          |      5  |      1.0977  |     0.9014  |   0.8511  |               |              2.1818  |
|          |      6  |      1.0527  |     0.9199  |   0.8983  |               |              2.5284  |
|          |      7  |      1.0137  |     0.9404  |   0.8934  |               |              2.8755  |
|          |      8  |      0.9570  |     0.9736  |   0.9251  |               |              3.2219  |
|          |      9  |      0.9355  |     0.9795  |   0.9344  |               |              3.5406  |
|          |   eval  |      0.9355  |     0.9795  |   0.9344  |       0.9411  |              3.6899  |
------------------------------------------------------------------------------------------------------
Mean: 0.9396    Std: 0.0014
/workspace/ese-3060-project/logs/ef20ef70-749c-408e-b90b-0e3f54c5dbd3/log.pt
