------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |   eval  |      0.9390  |     0.9814  |   0.9312  |       0.9396  |              3.6935  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4238  |     0.7100  |   0.6707  |               |              0.3852  |
|          |      1  |      1.3135  |     0.7676  |   0.5540  |               |              0.7636  |
|          |      2  |      1.2305  |     0.8135  |   0.7554  |               |              1.1413  |
|          |      3  |      1.1465  |     0.8730  |   0.8138  |               |              1.4890  |
|          |      4  |      1.1240  |     0.8779  |   0.8477  |               |              1.8360  |
|          |      5  |      1.0781  |     0.9150  |   0.8605  |               |              2.1834  |
|          |      6  |      1.0400  |     0.9229  |   0.8992  |               |              2.5305  |
|          |      7  |      1.0186  |     0.9395  |   0.8929  |               |              2.8780  |
|          |      8  |      0.9692  |     0.9609  |   0.9202  |               |              3.2252  |
|          |      9  |      0.9507  |     0.9707  |   0.9347  |               |              3.5445  |
|          |   eval  |      0.9507  |     0.9707  |   0.9347  |       0.9403  |              3.6936  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.4062  |     0.7051  |   0.6605  |               |              0.3853  |
|          |      1  |      1.2578  |     0.8154  |   0.7691  |               |              0.7636  |
|          |      2  |      1.1885  |     0.8408  |   0.7978  |               |              1.1412  |
|          |      3  |      1.1562  |     0.8604  |   0.8263  |               |              1.4888  |
|          |      4  |      1.1211  |     0.8740  |   0.8617  |               |              1.8359  |
|          |      5  |      1.0869  |     0.9014  |   0.8606  |               |              2.1834  |
|          |      6  |      1.0703  |     0.9033  |   0.8682  |               |              2.5305  |
|          |      7  |      1.0127  |     0.9395  |   0.8911  |               |              2.8778  |
|          |      8  |      0.9678  |     0.9648  |   0.9232  |               |              3.2249  |
|          |      9  |      0.9326  |     0.9844  |   0.9318  |               |              3.5442  |
|          |   eval  |      0.9326  |     0.9844  |   0.9318  |       0.9389  |              3.6934  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4473  |     0.6865  |   0.6259  |               |              0.3852  |
|          |      1  |      1.2656  |     0.8145  |   0.7505  |               |              0.7634  |
|          |      2  |      1.1826  |     0.8428  |   0.7827  |               |              1.1410  |
|          |      3  |      1.1689  |     0.8506  |   0.8441  |               |              1.4888  |
|          |      4  |      1.1182  |     0.8789  |   0.8654  |               |              1.8358  |
|          |      5  |      1.0967  |     0.8906  |   0.8521  |               |              2.1830  |
|          |      6  |      1.0527  |     0.9131  |   0.8722  |               |              2.5301  |
|          |      7  |      1.0352  |     0.9209  |   0.9017  |               |              2.8777  |
|          |      8  |      0.9668  |     0.9668  |   0.9234  |               |              3.2247  |
|          |      9  |      0.9414  |     0.9766  |   0.9334  |               |              3.5439  |
|          |   eval  |      0.9414  |     0.9766  |   0.9334  |       0.9397  |              3.6931  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4404  |     0.7129  |   0.6574  |               |              0.3853  |
|          |      1  |      1.2500  |     0.8252  |   0.7701  |               |              0.7637  |
|          |      2  |      1.2129  |     0.8311  |   0.7631  |               |              1.1413  |
|          |      3  |      1.1416  |     0.8760  |   0.8335  |               |              1.4890  |
|          |      4  |      1.1191  |     0.8750  |   0.8563  |               |              1.8361  |
|          |      5  |      1.0879  |     0.8955  |   0.8654  |               |              2.1836  |
|          |      6  |      1.0400  |     0.9277  |   0.8995  |               |              2.5307  |
|          |      7  |      1.0146  |     0.9248  |   0.8935  |               |              2.8781  |
|          |      8  |      0.9780  |     0.9551  |   0.9228  |               |              3.2253  |
|          |      9  |      0.9414  |     0.9766  |   0.9340  |               |              3.5446  |
|          |   eval  |      0.9414  |     0.9766  |   0.9340  |       0.9391  |              3.6937  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4395  |     0.6953  |   0.6319  |               |              0.3851  |
|          |      1  |      1.2549  |     0.8174  |   0.7397  |               |              0.7633  |
|          |      2  |      1.2051  |     0.8359  |   0.7710  |               |              1.1410  |
|          |      3  |      1.1338  |     0.8857  |   0.7250  |               |              1.4887  |
|          |      4  |      1.1338  |     0.8672  |   0.8405  |               |              1.8358  |
|          |      5  |      1.1191  |     0.8770  |   0.8632  |               |              2.1832  |
|          |      6  |      1.0332  |     0.9209  |   0.8911  |               |              2.5304  |
