------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      4  |      1.1250  |     0.8770  |   0.8568  |               |              1.8354  |
|          |      5  |      1.0967  |     0.8945  |   0.8768  |               |              2.1826  |
|          |      6  |      1.0332  |     0.9297  |   0.8990  |               |              2.5293  |
|          |      7  |      1.0264  |     0.9297  |   0.8964  |               |              2.8764  |
|          |      8  |      0.9683  |     0.9609  |   0.9216  |               |              3.2235  |
|          |      9  |      0.9390  |     0.9834  |   0.9314  |               |              3.5426  |
|          |   eval  |      0.9390  |     0.9834  |   0.9314  |       0.9380  |              3.6919  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4404  |     0.7002  |   0.6159  |               |              0.3854  |
|          |      1  |      1.2715  |     0.7998  |   0.7721  |               |              0.7637  |
|          |      2  |      1.2109  |     0.8350  |   0.7648  |               |              1.1414  |
|          |      3  |      1.1670  |     0.8535  |   0.8310  |               |              1.4888  |
|          |      4  |      1.1104  |     0.8818  |   0.8530  |               |              1.8357  |
|          |      5  |      1.1084  |     0.8818  |   0.8582  |               |              2.1828  |
|          |      6  |      1.0420  |     0.9229  |   0.8796  |               |              2.5297  |
|          |      7  |      1.0107  |     0.9414  |   0.9032  |               |              2.8770  |
|          |      8  |      0.9707  |     0.9590  |   0.9168  |               |              3.2238  |
|          |      9  |      0.9429  |     0.9834  |   0.9336  |               |              3.5427  |
|          |   eval  |      0.9429  |     0.9834  |   0.9336  |       0.9400  |              3.6920  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4053  |     0.7324  |   0.6742  |               |              0.3855  |
|          |      1  |      1.2773  |     0.7842  |   0.7659  |               |              0.7639  |
|          |      2  |      1.2021  |     0.8340  |   0.8202  |               |              1.1415  |
|          |      3  |      1.1641  |     0.8623  |   0.8041  |               |              1.4887  |
|          |      4  |      1.1289  |     0.8672  |   0.8512  |               |              1.8356  |
|          |      5  |      1.0967  |     0.8936  |   0.8622  |               |              2.1829  |
|          |      6  |      1.0352  |     0.9229  |   0.8875  |               |              2.5296  |
|          |      7  |      1.0205  |     0.9355  |   0.9108  |               |              2.8767  |
|          |      8  |      0.9761  |     0.9639  |   0.9237  |               |              3.2235  |
|          |      9  |      0.9438  |     0.9775  |   0.9329  |               |              3.5427  |
|          |   eval  |      0.9438  |     0.9775  |   0.9329  |       0.9403  |              3.6921  |
------------------------------------------------------------------------------------------------------
