------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.1982  |     0.8369  |   0.8177  |               |              1.1461  |
|          |      3  |      1.1299  |     0.8760  |   0.8030  |               |              1.4948  |
|          |      4  |      1.1172  |     0.8789  |   0.8667  |               |              1.8427  |
|          |      5  |      1.0830  |     0.8984  |   0.8304  |               |              2.1910  |
|          |      6  |      1.0371  |     0.9238  |   0.8878  |               |              2.5391  |
|          |      7  |      1.0264  |     0.9277  |   0.8931  |               |              2.8876  |
|          |      8  |      0.9829  |     0.9541  |   0.9260  |               |              3.2356  |
|          |      9  |      0.9409  |     0.9805  |   0.9346  |               |              3.5557  |
|          |   eval  |      0.9409  |     0.9805  |   0.9346  |       0.9419  |              3.7055  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4346  |     0.7031  |   0.6743  |               |              0.3868  |
|          |      1  |      1.2539  |     0.8145  |   0.7569  |               |              0.7666  |
|          |      2  |      1.2217  |     0.8174  |   0.7669  |               |              1.1456  |
|          |      3  |      1.1396  |     0.8701  |   0.8259  |               |              1.4941  |
|          |      4  |      1.1260  |     0.8877  |   0.8504  |               |              1.8421  |
|          |      5  |      1.0879  |     0.9023  |   0.8524  |               |              2.1905  |
|          |      6  |      1.0371  |     0.9219  |   0.8899  |               |              2.5384  |
|          |      7  |      1.0117  |     0.9316  |   0.8968  |               |              2.8867  |
|          |      8  |      0.9731  |     0.9619  |   0.9243  |               |              3.2347  |
|          |      9  |      0.9331  |     0.9883  |   0.9318  |               |              3.5550  |
|          |   eval  |      0.9331  |     0.9883  |   0.9318  |       0.9388  |              3.7048  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4434  |     0.6973  |   0.5986  |               |              0.3866  |
|          |      1  |      1.2422  |     0.8242  |   0.7521  |               |              0.7663  |
|          |      2  |      1.2031  |     0.8232  |   0.7948  |               |              1.1454  |
|          |      3  |      1.1992  |     0.8320  |   0.7984  |               |              1.4940  |
|          |      4  |      1.1260  |     0.8779  |   0.8563  |               |              1.8419  |
|          |      5  |      1.1074  |     0.8926  |   0.8580  |               |              2.1902  |
|          |      6  |      1.0312  |     0.9297  |   0.8905  |               |              2.5383  |
|          |      7  |      1.0020  |     0.9434  |   0.9069  |               |              2.8867  |
|          |      8  |      0.9766  |     0.9570  |   0.9155  |               |              3.2346  |
|          |      9  |      0.9434  |     0.9756  |   0.9327  |               |              3.5547  |
|          |   eval  |      0.9434  |     0.9756  |   0.9327  |       0.9379  |              3.7045  |
